epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1358.51,1.48625,0.72306,0.87914,0.76745,0.54435,0.61972,0.28411,1.73539,0.8483,0.97569,0.00103073,0.00103073,0.00103073
76,1369.38,1.48514,0.72897,0.88737,0.78258,0.54486,0.61395,0.27405,1.7459,0.84571,0.97966,0.00101,0.00101,0.00101
77,1377.96,1.47834,0.72238,0.88139,0.80987,0.53542,0.62578,0.29975,1.70363,0.83867,0.97657,0.000989267,0.000989267,0.000989267
78,1386.66,1.51272,0.74055,0.88702,0.79799,0.5408,0.6238,0.29442,1.72503,0.83548,0.97825,0.000968543,0.000968543,0.000968543
79,1396.83,1.46132,0.71237,0.88116,0.80851,0.53822,0.62487,0.28991,1.73066,0.8448,0.97821,0.000947837,0.000947837,0.000947837
80,1433.77,1.45504,0.71144,0.883,0.81404,0.53117,0.62542,0.29234,1.72194,0.85027,0.9743,0.000927159,0.000927159,0.000927159
81,1442.64,1.49261,0.71734,0.88417,0.79046,0.53244,0.61226,0.27979,1.75027,0.84319,0.98149,0.000906517,0.000906517,0.000906517
82,1483.66,1.4419,0.70265,0.86796,0.7905,0.54257,0.62479,0.29079,1.72872,0.82587,0.98012,0.00088592,0.00088592,0.00088592
83,1492.32,1.43825,0.69611,0.88129,0.79442,0.53979,0.62573,0.2959,1.71019,0.83338,0.97647,0.000865378,0.000865378,0.000865378
84,1501.34,1.49001,0.71383,0.8739,0.78096,0.54121,0.625,0.29443,1.72423,0.82413,0.97844,0.000844899,0.000844899,0.000844899
85,1514.26,1.42601,0.69216,0.87708,0.78899,0.54131,0.62888,0.29454,1.71152,0.82305,0.9736,0.000824492,0.000824492,0.000824492
86,1525.42,1.44823,0.69782,0.86947,0.78118,0.54283,0.62232,0.2919,1.72319,0.83835,0.98154,0.000804167,0.000804167,0.000804167
87,1541.16,1.47159,0.7119,0.86874,0.78915,0.54729,0.63208,0.29315,1.74642,0.84926,0.98937,0.000783933,0.000783933,0.000783933
88,1564.65,1.47131,0.71472,0.87115,0.79288,0.552,0.63086,0.29679,1.70883,0.84674,0.97735,0.000763797,0.000763797,0.000763797
89,1582.57,1.40503,0.68098,0.86806,0.78137,0.5446,0.63139,0.2958,1.71381,0.83683,0.97516,0.000743769,0.000743769,0.000743769
90,1606.99,1.41953,0.69661,0.87229,0.81142,0.53371,0.62949,0.2998,1.6907,0.81685,0.972,0.000723859,0.000723859,0.000723859
91,1615.82,1.41867,0.68487,0.86911,0.80761,0.54663,0.63518,0.30361,1.70799,0.82188,0.9783,0.000704073,0.000704073,0.000704073
92,1624.37,1.37319,0.66807,0.87369,0.79871,0.54055,0.63071,0.2942,1.73211,0.83602,0.98646,0.000684422,0.000684422,0.000684422
93,1633.1,1.42705,0.69034,0.87828,0.7717,0.5628,0.6345,0.29476,1.71668,0.83688,0.98312,0.000664914,0.000664914,0.000664914
94,1698.4,1.4488,0.69555,0.85869,0.79526,0.54866,0.63407,0.2941,1.7156,0.81846,0.9816,0.000645557,0.000645557,0.000645557
95,1714.51,1.38518,0.66334,0.86569,0.77261,0.55623,0.63059,0.29643,1.7011,0.81817,0.9814,0.00062636,0.00062636,0.00062636
96,1727.8,1.41886,0.68561,0.86612,0.79238,0.55195,0.63973,0.29962,1.7069,0.83555,0.97643,0.000607331,0.000607331,0.000607331
97,1742.39,1.35766,0.65631,0.86213,0.78486,0.5436,0.6281,0.29848,1.69712,0.82811,0.98687,0.000588479,0.000588479,0.000588479
